Iteration 0
Ep: 333, Reward: 732.3795, Test: 484.5569, Avg: 611.9497
Ep: 334, Reward: 645.5320, Test: 835.7275, Avg: 613.6180
Ep: 335, Reward: 668.1654, Test: 727.4296, Avg: 612.6963
Ep: 336, Reward: 760.2442, Test: 637.8367, Avg: 612.4992
Ep: 337, Reward: 738.9700, Test: 659.6675, Avg: 613.1515
Ep: 338, Reward: 740.3632, Test: 603.3103, Avg: 612.0843
Ep: 339, Reward: 712.2086, Test: 728.4164, Avg: 613.4857
Ep: 340, Reward: 601.9741, Test: 768.8677, Avg: 615.6242
Ep: 341, Reward: 763.4081, Test: 691.2042, Avg: 614.6624
Ep: 342, Reward: 631.2444, Test: 709.9496, Avg: 618.8233
Ep: 343, Reward: 562.4200, Test: 720.1736, Avg: 620.2362
Ep: 344, Reward: 656.7323, Test: 695.4062, Avg: 623.0480
Ep: 345, Reward: 755.2207, Test: 744.9421, Avg: 625.2532
Ep: 346, Reward: 716.8813, Test: 836.4724, Avg: 629.5269
Ep: 347, Reward: 811.1416, Test: 463.1847, Avg: 630.2898
Ep: 348, Reward: 715.5664, Test: 785.1690, Avg: 633.2104
Ep: 349, Reward: 721.1541, Test: 765.3519, Avg: 634.7418
Ep: 350, Reward: 632.8463, Test: 639.6473, Avg: 636.2336
Ep: 351, Reward: 743.7366, Test: 682.1915, Avg: 638.1318
Ep: 352, Reward: 580.4626, Test: 661.1354, Avg: 639.9944
Ep: 353, Reward: 775.4901, Test: 688.7797, Avg: 641.3288
Ep: 354, Reward: 597.8088, Test: 801.5996, Avg: 645.5137
Ep: 355, Reward: 714.0385, Test: 695.5806, Avg: 645.1916
Ep: 356, Reward: 848.0186, Test: 785.7793, Avg: 648.9015
Ep: 357, Reward: 798.4513, Test: 822.1604, Avg: 650.4683
Ep: 358, Reward: 752.2522, Test: 566.1566, Avg: 649.6369
Ep: 359, Reward: 668.8603, Test: 824.4851, Avg: 652.1666
Ep: 360, Reward: 772.1264, Test: 642.0521, Avg: 651.4315
Ep: 361, Reward: 675.8412, Test: 493.3706, Avg: 650.9161
Ep: 362, Reward: 719.9520, Test: 481.0041, Avg: 651.1675
Ep: 363, Reward: 600.2757, Test: 789.1105, Avg: 654.7610
Ep: 364, Reward: 491.7538, Test: 594.6884, Avg: 653.7390
Ep: 365, Reward: 720.7248, Test: 809.7376, Avg: 654.2881
Ep: 366, Reward: 649.9332, Test: 719.0025, Avg: 655.2493
Ep: 367, Reward: 860.9686, Test: 615.7976, Avg: 654.5133
Ep: 368, Reward: 543.2140, Test: 708.1361, Avg: 654.4849
Ep: 369, Reward: 662.6655, Test: 530.4644, Avg: 653.5518
Ep: 370, Reward: 718.6540, Test: 702.0418, Avg: 655.2020
Ep: 371, Reward: 752.4470, Test: 623.8933, Avg: 654.6486
Ep: 372, Reward: 736.5044, Test: 771.2261, Avg: 656.4502
Ep: 373, Reward: 910.9900, Test: 888.8029, Avg: 657.2433
Ep: 374, Reward: 826.2383, Test: 769.5873, Avg: 658.2502
Ep: 375, Reward: 682.2611, Test: 812.9181, Avg: 658.7328
Ep: 376, Reward: 736.2355, Test: 462.1449, Avg: 656.1324
Ep: 377, Reward: 583.9264, Test: 795.6977, Avg: 657.0055
Ep: 378, Reward: 711.2089, Test: 748.7343, Avg: 657.3454
Ep: 379, Reward: 766.8824, Test: 673.2352, Avg: 656.6379
Ep: 380, Reward: 833.4492, Test: 845.4531, Avg: 657.7144
Ep: 381, Reward: 718.8953, Test: 688.9426, Avg: 656.5588
Ep: 382, Reward: 823.4958, Test: 699.5652, Avg: 656.9214
Ep: 383, Reward: 813.3639, Test: 842.9369, Avg: 658.5501
Ep: 384, Reward: 827.6440, Test: 830.9513, Avg: 661.0375
Ep: 385, Reward: 785.2097, Test: 813.9363, Avg: 662.8892
Ep: 386, Reward: 855.8174, Test: 747.0561, Avg: 665.3401
